key.tableName,data.schemaName,data.realName,data.description,flags.canBeExposed,flags.exposed,flags.locked
YAA_Global,LAKE,LAKE.YAA_Global,The table carries all of the global variables,1,0,1
YxAA_CLO_BWArticle,LAKE,LAKE.YxAA_ CLO_BWArticle,,1,0,0
YxAA_CLO_CAR,LAKE,LAKE.YxAA_ CLO_CAR,,1,0,0
YAA_CLO_BWArticle,LAKE,LAKE.YAA_ CLO_BWArticle,BW Article Masterdata enriched,1,1,1
YAA_CLO_CARBW_JOIN,LAKE,LAKE.YAA_ CLO_CARBW_JOIN,,1,0,0
YAA_2020112601_backward_sarimax_features_best_models,LAKE,LAKE.YAA_2020112601_backward_sarimax_features_best_models,,1,0,0
YAA_2020112601_backward_sarimax_features_best_models_coeff,LAKE,LAKE.YAA_2020112601_backward_sarimax_features_best_models_coeff,,1,0,0
YAA_2020112601_backward_sarimax_features_loop,LAKE,LAKE.YAA_2020112601_backward_sarimax_features_loop,,1,0,0
YAA_2020112601_etl_output_daily,LAKE,LAKE.YAA_2020112601_etl_output_daily,,1,0,0
YAA_2020112601_etl_output_wide,LAKE,LAKE.YAA_2020112601_etl_output_wide,,1,0,0
YAA_2020112601_features_raw,LAKE,LAKE.YAA_2020112601_features_raw,,1,0,0
YAA_2020112601_forecast_per_day_coefficients,LAKE,LAKE.YAA_2020112601_forecast_per_day_coefficients,,1,0,0
YAA_2020112601_forecast_per_day_method,LAKE,LAKE.YAA_2020112601_forecast_per_day_method,,1,0,0
YAA_2020112601_optimal_features_hyperparameters,LAKE,LAKE.YAA_2020112601_optimal_features_hyperparameters,,1,0,0
YAA_2020112601_optimal_features_selected_features,LAKE,LAKE.YAA_2020112601_optimal_features_selected_features,,1,0,0
YAA_2020112601_optimal_features_underlying_models,LAKE,LAKE.YAA_2020112601_optimal_features_underlying_models,,1,0,0
YAA_2020112601_optimal_sarimax_features_best_model,LAKE,LAKE.YAA_2020112601_optimal_sarimax_features_best_model,,1,0,0
YAA_2020112601_optimal_sarimax_features_best_model_fit,LAKE,LAKE.YAA_2020112601_optimal_sarimax_features_best_model_fit,,1,0,0
YAA_2020112601_optimal_sarimax_features_best_models,LAKE,LAKE.YAA_2020112601_optimal_sarimax_features_best_models,,1,0,0
YAA_2020112601_optimal_sarimax_features_best_models_coeff,LAKE,LAKE.YAA_2020112601_optimal_sarimax_features_best_models_coeff,,1,0,0
YAA_2020112601_optimal_sarimax_features_best_models_coefficients,LAKE,LAKE.YAA_2020112601_optimal_sarimax_features_best_models_coefficients,,1,0,0
YAA_2020112601_optimal_sarimax_features_loop,LAKE,LAKE.YAA_2020112601_optimal_sarimax_features_loop,,1,0,0
YAA_2020112601_promo_data_20180315_20201231,LAKE,LAKE.YAA_2020112601_promo_data_20180315_20201231,,1,0,0
YAA_MyTable,LAKE,LAKE.YAA_MyTable,,1,0,0
YAA_Xaa,LAKE,LAKE.YAA_Xaa,,1,0,0
YAA_abcde,LAKE,LAKE.YAA_abcde,,1,0,0
YAA_dev_2020112601_backward_sarimax_features_best_models,LAKE,LAKE.YAA_dev_2020112601_backward_sarimax_features_best_models,,1,0,0
YAA_dev_2020112601_backward_sarimax_features_best_models_coeff,LAKE,LAKE.YAA_dev_2020112601_backward_sarimax_features_best_models_coeff,,1,0,0
YAA_dev_2020112601_backward_sarimax_features_loop,LAKE,LAKE.YAA_dev_2020112601_backward_sarimax_features_loop,,1,0,0
YAA_dev_2020112601_etl_output_daily,LAKE,LAKE.YAA_dev_2020112601_etl_output_daily,,1,0,0
YAA_dev_2020112601_etl_output_wide,LAKE,LAKE.YAA_dev_2020112601_etl_output_wide,,1,0,0
YAA_dev_2020112601_features_raw,LAKE,LAKE.YAA_dev_2020112601_features_raw,,1,0,0
YAA_dev_2020112601_forecast_per_day_coefficients,LAKE,LAKE.YAA_dev_2020112601_forecast_per_day_coefficients,,1,0,0
YAA_dev_2020112601_forecast_per_day_method,LAKE,LAKE.YAA_dev_2020112601_forecast_per_day_method,,1,0,0
YAA_dev_2020112601_optimal_features_hyperparameters,LAKE,LAKE.YAA_dev_2020112601_optimal_features_hyperparameters,,1,0,0
YAA_dev_2020112601_optimal_features_selected_features,LAKE,LAKE.YAA_dev_2020112601_optimal_features_selected_features,,1,0,0
YAA_dev_2020112601_optimal_features_underlying_models,LAKE,LAKE.YAA_dev_2020112601_optimal_features_underlying_models,,1,0,0
YAA_dev_2020112601_optimal_sarimax_features_best_model,LAKE,LAKE.YAA_dev_2020112601_optimal_sarimax_features_best_model,,1,0,0
YAA_dev_2020112601_optimal_sarimax_features_best_model_fit,LAKE,LAKE.YAA_dev_2020112601_optimal_sarimax_features_best_model_fit,,1,0,0
YAA_dev_2020112601_optimal_sarimax_features_best_models,LAKE,LAKE.YAA_dev_2020112601_optimal_sarimax_features_best_models,,1,0,0
YAA_dev_2020112601_optimal_sarimax_features_best_models_coeff,LAKE,LAKE.YAA_dev_2020112601_optimal_sarimax_features_best_models_coeff,,1,0,0
YAA_dev_2020112601_optimal_sarimax_features_best_models_coefficients,LAKE,LAKE.YAA_dev_2020112601_optimal_sarimax_features_best_models_coefficients,,1,0,0
YAA_dev_2020112601_optimal_sarimax_features_loop,LAKE,LAKE.YAA_dev_2020112601_optimal_sarimax_features_loop,,1,0,0
YAA_dev_2020112601_promo_data_20180315_20201231,LAKE,LAKE.YAA_dev_2020112601_promo_data_20180315_20201231,,1,0,0
YAA_test_2020112601_backward_sarimax_features_best_models,LAKE,LAKE.YAA_test_2020112601_backward_sarimax_features_best_models,,1,0,0
YAA_test_2020112601_backward_sarimax_features_best_models_coeff,LAKE,LAKE.YAA_test_2020112601_backward_sarimax_features_best_models_coeff,,1,0,0
YAA_test_2020112601_backward_sarimax_features_loop,LAKE,LAKE.YAA_test_2020112601_backward_sarimax_features_loop,,1,0,0
YAA_test_2020112601_etl_output_daily,LAKE,LAKE.YAA_test_2020112601_etl_output_daily,,1,0,0
YAA_test_2020112601_etl_output_wide,LAKE,LAKE.YAA_test_2020112601_etl_output_wide,,1,0,0
YAA_test_2020112601_features_raw,LAKE,LAKE.YAA_test_2020112601_features_raw,,1,0,0
YAA_test_2020112601_forecast_per_day_coefficients,LAKE,LAKE.YAA_test_2020112601_forecast_per_day_coefficients,,1,0,0
YAA_test_2020112601_forecast_per_day_method,LAKE,LAKE.YAA_test_2020112601_forecast_per_day_method,,1,0,0
YAA_test_2020112601_optimal_features_hyperparameters,LAKE,LAKE.YAA_test_2020112601_optimal_features_hyperparameters,,1,0,0
YAA_test_2020112601_optimal_features_selected_features,LAKE,LAKE.YAA_test_2020112601_optimal_features_selected_features,,1,0,0
YAA_test_2020112601_optimal_features_underlying_models,LAKE,LAKE.YAA_test_2020112601_optimal_features_underlying_models,,1,0,0
YAA_test_2020112601_optimal_sarimax_features_best_model,LAKE,LAKE.YAA_test_2020112601_optimal_sarimax_features_best_model,,1,0,0
YAA_test_2020112601_optimal_sarimax_features_best_model_fit,LAKE,LAKE.YAA_test_2020112601_optimal_sarimax_features_best_model_fit,,1,0,0
YAA_test_2020112601_optimal_sarimax_features_best_models,LAKE,LAKE.YAA_test_2020112601_optimal_sarimax_features_best_models,,1,0,0
YAA_test_2020112601_optimal_sarimax_features_best_models_coeff,LAKE,LAKE.YAA_test_2020112601_optimal_sarimax_features_best_models_coeff,,1,0,0
YAA_test_2020112601_optimal_sarimax_features_best_models_coefficients,LAKE,LAKE.YAA_test_2020112601_optimal_sarimax_features_best_models_coefficients,,1,0,0
YAA_test_2020112601_optimal_sarimax_features_loop,LAKE,LAKE.YAA_test_2020112601_optimal_sarimax_features_loop,,1,0,0
YAA_test_2020112601_promo_data_20180315_20201231,LAKE,LAKE.YAA_test_2020112601_promo_data_20180315_20201231,,1,0,0
ZQ_CAR_ReceiptAnalysis_laketable,LAKE,LAKE.ZQ_CAR_ReceiptAnalysis_laketable,Local lake copy of a few selected fields from receipt details use for high performance,1,1,1